id,observed_on,latitude,longitude,scientific_name,common_name
317431235,2025,35.61331655,-82.5690746,Pyrus calleryana,Callery pear
317533738,2025,34.22826383,-77.87346289,Pyrus calleryana,Callery pear
317774900,2025,35.34846167,-83.24213333,Pyrus calleryana,Callery pear
317780873,2025,35.36733024,-83.25127603,Pyrus calleryana,Callery pear
317956542,2025,34.19909487,-77.94213197,Pyrus calleryana,Callery pear
318190097,2025,35.66489278,-80.48396832,Pyrus calleryana,Callery pear
318398051,2025,35.22180629,-82.7278935,Pyrus calleryana,Callery pear
318455521,2025,36.01687352,-78.88359188,Pyrus calleryana,Callery pear
318494367,2025,36.00271993,-78.89616863,Pyrus calleryana,Callery pear
318782726,2025,36.26027,-75.88462,Pyrus calleryana,Callery pear
318934581,2025,35.65135553,-78.80235613,Pyrus calleryana,Callery pear
318938528,2025,35.58996977,-78.79987722,Pyrus calleryana,Callery pear
318981407,2025,34.77842712,-77.30802917,Pyrus calleryana,Callery pear
319185545,2025,35.49729167,-77.9674,Pyrus calleryana,Callery pear
319263011,2025,36.26087,-75.88964667,Pyrus calleryana,Callery pear
319274779,2025,36.26061167,-75.88987,Pyrus calleryana,Callery pear
319418998,2025,35.72419739,-82.5539093,Pyrus calleryana,Callery pear
319478687,2025,36.25986333,-75.887725,Pyrus calleryana,Callery pear
319564830,2025,35.57055766,-82.55707224,Pyrus calleryana,Callery pear
319564934,2025,35.57058615,-82.55705794,Pyrus calleryana,Callery pear
319572275,2025,35.35796975,-77.96445459,Pyrus calleryana,Callery pear
319704629,2025,36.26503,-75.87899667,Pyrus calleryana,Callery pear
319756992,2025,35.71997,-80.24693333,Pyrus calleryana,Callery pear
319874388,2025,35.20233352,-78.97612732,Pyrus calleryana,Callery pear
319876764,2025,36.262755,-75.886095,Pyrus calleryana,Callery pear
319893508,2025,36.26018,-75.88635333,Pyrus calleryana,Callery pear
319947445,2025,35.32281876,-80.73578644,Pyrus calleryana,Callery pear
319947527,2025,35.32281113,-80.7358017,Pyrus calleryana,Callery pear
